,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Th,4/19/2018,7.62,7.76,7.585,7.71,8.1464,9.0755,9.6079,34353,100.449k
,We,4/18/2018,7.73,7.83,7.56,7.6,8.1594,9.116,9.6258,119.848k,106.996k
,Tu,4/17/2018,7.54,7.78,7.49,7.73,8.175,9.1564,9.6451,139.506k,107.118k
,Mo,4/16/2018,7.49,7.53,7.32,7.47,8.1994,9.1942,9.6671,90997,106.189k
,,,,,,,,,,,
,Fr,4/13/2018,7.4,7.5148,7.23,7.44,8.2456,9.2345,9.6915,67834,107.794k
,Th,4/12/2018,7.5,7.73,7.34,7.38,8.2932,9.2735,9.7163,111.118k,109.691k
,We,4/11/2018,7.39,7.6072,7.39,7.45,8.341,9.31,9.7444,134.886k,112.569k
,Tu,4/10/2018,7.11,7.57,7.11,7.4,8.389,9.3499,9.7735,158.948k,117.069k
,Mo,4/9/2018,7.08,7.29,6.99,7.06,8.4472,9.389,9.802,59367,116.6k
,,,,,,,,,,,
,Fr,4/6/2018,7.03,7.21,6.89,7.04,8.5134,9.4216,9.8315,79784,141.48k
,Th,4/5/2018,7.13,7.279,7.01,7.09,8.5804,9.4512,9.8611,62867,150.436k
,We,4/4/2018,6.85,7.16,6.85,7.09,8.6432,9.482,9.8926,102.998k,151.109k
,Tu,4/3/2018,7,7.19,6.93,6.98,8.7076,9.5129,9.9207,106.82k,147.777k
,Mo,4/2/2018,7.29,7.44,6.891,6.98,8.7684,9.5463,9.9509,139.565k,145.058k
,,,,,,,,,,,
,Th,3/29/2018,7.05,7.4221,7.03,7.28,8.8238,9.5798,9.9815,97848,143.363k
,We,3/28/2018,7.13,7.189,6.91,7.01,8.8726,9.6111,10.0121,132.561k,147.453k
,Tu,3/27/2018,7.39,7.4068,7.03,7.16,8.9234,9.6447,10.0434,121.668k,143.517k
,Mo,3/26/2018,7.53,7.53,7.22,7.39,8.9786,9.6794,10.0732,125.576k,144.326k
,,,,,,,,,,,
,Fr,3/23/2018,7.68,7.7299,7.41,7.42,9.0256,9.7097,10.1058,115.069k,143.916k
,Th,3/22/2018,7.98,7.9947,7.68,7.69,9.074,9.7393,10.1369,96295,142.467k
,We,3/21/2018,7.9,8.21,7.7,8.04,9.1142,9.7684,10.1659,154.287k,145.514k
,Tu,3/20/2018,8.3,8.3,7.87,7.92,9.1466,9.7939,10.1921,202.382k,140.932k
,Mo,3/19/2018,8.36,8.48,8.13,8.29,9.1784,9.8218,10.2184,151.908k,128.907k
,,,,,,,,,,,
,Fr,3/16/2018,8.65,8.6925,8.1,8.36,9.198,9.8444,10.2432,432.578k,122.513k
,Th,3/15/2018,9.11,9.3944,8.78,9.11,9.2118,9.8682,10.2673,214.119k,99795
,We,3/14/2018,9.38,9.38,8.945,9.05,9.207,9.8781,10.2885,72956,88170
,Tu,3/13/2018,9.35,9.4,9.071,9.25,9.194,9.8892,10.3124,53019,88015
,Mo,3/12/2018,9.29,9.37,9.2159,9.33,9.1824,9.8968,10.3348,66041,88159
,,,,,,,,,,,
,Fr,3/9/2018,9.28,9.35,9.02,9.27,9.1772,9.9064,10.358,114.141k,89121
,Th,3/8/2018,9.57,9.587,9.12,9.19,9.1708,9.9143,10.382,159.196k,87157
